customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetCharges,MonthlyCharges,TotalCharges,Churn,NumberServices,AverageMonthly,TenureSegment,ChargePerService
customer_25,Female,0,Yes,Yes,61,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,21.67,94.65,5773.65,No,2,94.64999999999999,client_confirme,31.55
customer_26,Male,1,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,49.48,3018.28,No,0,49.480000000000004,client_confirme,49.48
customer_27,Male,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,45.65,2099.9,No,0,45.65,client_confirme,45.65
customer_28,Male,1,Yes,Yes,61,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,77.83,127.83,7797.63,No,3,127.83,client_confirme,31.9575
customer_29,Female,1,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1000.0,No,0,20.0,client_confirme,20.0
customer_30,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,122.91,180.03,9721.62,No,2,180.03,client_confirme,60.01
customer_31,Female,0,No,Yes,63,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,1260.0,No,0,20.0,client_confirme,20.0
customer_32,Male,1,No,Yes,2,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,One year,113.35,138.35,276.7,Yes,1,138.35,client_novice,69.175
customer_33,Female,0,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,1000.0,No,0,20.0,client_confirme,20.0
customer_34,Female,1,Yes,No,6,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Month-to-month,95.37,115.37,692.22,No,0,115.37,client_novice,115.37
customer_35,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,34.49,689.8,No,0,34.489999999999995,client_adepte,34.49
customer_36,Male,0,Yes,No,72,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,99.55,142.5,10260.0,No,1,142.5,client_confirme,71.25
customer_37,Male,1,Yes,Yes,38,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,760.0,No,0,20.0,client_confirme,20.0
customer_38,Male,1,Yes,No,17,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,340.0,No,0,20.0,client_adepte,20.0
customer_39,Female,1,Yes,No,3,No,No,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,30.98,65.98,197.94,No,1,65.98,client_novice,32.99
customer_40,Male,1,No,No,59,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,Yes,One year,22.57,94.19,5557.21,No,3,94.19,client_confirme,23.5475
customer_41,Male,0,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,103.06,148.98,1936.74,No,1,148.98,client_adepte,74.49
customer_42,Male,1,Yes,No,8,No,No,DSL,No,No,No internet service,No internet service,No,No internet service,One year,26.6,46.6,372.8,No,0,46.6,client_adepte,46.6
customer_43,Male,1,Yes,Yes,52,No,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,96.38,146.38,7611.76,No,3,146.38,client_confirme,36.595
customer_44,Female,1,No,No,1,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,22.74,78.55,78.55,Yes,2,78.55,client_novice,26.183333333333334
customer_45,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,80.5,128.86,7602.74,No,2,128.85999999999999,client_confirme,42.95333333333334
customer_46,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,48.16,3371.2,No,0,48.16,client_confirme,48.16
customer_47,Male,0,Yes,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,860.0,No,0,20.0,client_confirme,20.0
customer_48,Male,1,No,No,7,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,30.25,211.75,No,0,30.25,client_adepte,30.25
customer_49,Female,0,No,No,46,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No,Two year,44.64,69.64,3203.44,No,1,69.64,client_confirme,34.82
customer_50,Female,1,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,90.32,135.21,4597.14,No,1,135.21,client_confirme,67.605
customer_51,Female,0,No,No,35,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,700.0,No,0,20.0,client_confirme,20.0
customer_52,Male,0,Yes,Yes,49,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,980.0,No,0,20.0,client_confirme,20.0
customer_53,Female,1,Yes,Yes,3,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Two year,97.86,122.86,368.58,No,1,122.86,client_novice,61.43
customer_54,Female,1,No,No,1,No,No,DSL,Yes,No internet service,Yes,No,Yes,No internet service,Two year,41.43,96.43,96.43,No,3,96.43,client_novice,24.1075
customer_55,Male,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,102.73,168.64,843.2,Yes,3,168.64000000000001,client_novice,42.16
customer_56,Female,0,No,Yes,53,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,80.2,142.48,7551.44,Yes,2,142.48,client_confirme,47.49333333333333
customer_57,Female,0,Yes,Yes,3,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Two year,107.69,167.2,501.6,No,3,167.20000000000002,client_novice,41.8
customer_58,Female,1,No,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,1060.0,No,0,20.0,client_confirme,20.0
customer_59,Male,0,Yes,No,62,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,Two year,38.02,122.42,7590.04,Yes,4,122.42,client_confirme,24.484
customer_60,Female,1,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,43.22,734.74,No,0,43.22,client_adepte,43.22
customer_61,Female,0,Yes,Yes,43,No,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,One year,56.85,91.85,3949.55,No,2,91.85000000000001,client_confirme,30.616666666666664
customer_62,Female,1,No,No,33,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,660.0,No,0,20.0,client_confirme,20.0
customer_63,Female,1,Yes,Yes,61,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,49.02,2990.22,No,0,49.019999999999996,client_confirme,49.02
customer_64,Female,0,Yes,No,13,No,No,DSL,No internet service,No,No internet service,No,Yes,No,One year,33.92,68.92,895.96,No,1,68.92,client_adepte,34.46
customer_65,Male,0,No,No,47,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,940.0,No,0,20.0,client_confirme,20.0
customer_66,Male,1,Yes,No,14,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,36.53,66.53,931.42,No,1,66.53,client_adepte,33.265
customer_67,Female,1,Yes,Yes,71,No,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Two year,58.93,108.93,7734.03,No,2,108.92999999999999,client_confirme,36.31
customer_68,Male,1,Yes,No,61,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Two year,31.67,82.14,5010.54,No,2,82.14,client_confirme,27.38
customer_69,Female,0,No,Yes,39,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,780.0,No,0,20.0,client_confirme,20.0
customer_70,Male,0,No,No,52,No,No phone service,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,139.91,169.91,8835.32,No,1,169.91,client_confirme,84.955
customer_71,Female,1,No,No,23,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,128.48,183.48,4220.04,Yes,3,183.48,client_adepte,45.87
customer_72,Female,1,No,Yes,25,No,Yes,DSL,No internet service,No internet service,No,Yes,No,Yes,One year,41.04,86.04,2151.0,Yes,2,86.04,client_confirme,28.680000000000003
customer_73,Male,1,Yes,Yes,59,No,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Two year,128.19,163.19,9628.21,No,1,163.19,client_confirme,81.595
customer_74,Female,1,Yes,Yes,40,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,49.95,1998.0,No,0,49.95,client_confirme,49.95
customer_75,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,89.99,149.87,4196.36,No,3,149.86999999999998,client_confirme,37.4675
customer_76,Male,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,280.0,No,0,20.0,client_adepte,20.0
customer_77,Male,0,No,No,44,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,880.0,No,0,20.0,client_confirme,20.0
customer_78,Female,1,Yes,Yes,64,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1280.0,No,0,20.0,client_confirme,20.0
customer_79,Female,1,No,No,70,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Two year,83.67,134.57,9419.9,No,2,134.57,client_confirme,44.85666666666666
customer_80,Female,1,Yes,Yes,8,No,No,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,30.03,75.03,600.24,No,2,75.03,client_adepte,25.01
customer_81,Male,0,Yes,No,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,0.0,No,0,20.0,client_novice,20.0
customer_82,Male,1,No,No,7,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,One year,30.28,94.63,662.41,No,1,94.63,client_adepte,47.315
customer_83,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,43.49,2696.38,No,0,43.49,client_confirme,43.49
customer_84,Female,0,No,Yes,10,No,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,Two year,43.38,63.38,633.8,No,0,63.379999999999995,client_adepte,63.38
customer_85,Male,0,No,Yes,7,No,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,45.97,70.97,496.79,Yes,1,70.97,client_adepte,35.485
customer_86,Male,1,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,37.77,1284.18,No,0,37.77,client_confirme,37.77
customer_87,Female,0,No,Yes,34,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,95.58,135.58,4609.72,No,2,135.58,client_confirme,45.193333333333335
customer_88,Male,1,No,Yes,32,No,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,45.58,100.58,3218.56,Yes,3,100.58,client_confirme,25.145
customer_89,Female,0,Yes,Yes,4,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,20.11,99.86,399.44,No,3,99.86,client_novice,24.965
customer_90,Male,0,Yes,Yes,40,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,One year,25.07,100.59,4023.6,No,3,100.59,client_confirme,25.1475
customer_91,Female,1,No,Yes,27,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,38.32,63.32,1709.64,Yes,1,63.32,client_confirme,31.66
customer_92,Female,1,No,Yes,6,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,70.1,135.1,810.6,No,4,135.1,client_novice,27.02
customer_93,Female,1,No,No,72,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,1440.0,No,0,20.0,client_confirme,20.0
customer_94,Male,1,No,Yes,71,No,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,85.0,115.0,8165.0,No,1,115.0,client_confirme,57.5
customer_95,Male,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,64.8,131.03,1441.33,No,2,131.03,client_adepte,43.67666666666667
customer_96,Female,1,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,112.54,167.54,5528.82,No,3,167.54,client_confirme,41.885
customer_97,Female,1,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,42.27,1352.64,No,0,42.27,client_confirme,42.27
customer_98,Male,1,Yes,Yes,47,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,112.59,167.59,7876.73,No,3,167.59,client_confirme,41.8975
customer_99,Male,0,Yes,No,22,No,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,107.7,137.7,3029.4,Yes,1,137.70000000000002,client_adepte,68.85
customer_100,Male,0,No,No,61,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1220.0,No,0,20.0,client_confirme,20.0
customer_101,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,41.86,1506.96,No,0,41.86,client_confirme,41.86
customer_102,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,24.8,84.74,3643.82,No,2,84.74000000000001,client_confirme,28.246666666666666
customer_103,Female,0,No,Yes,34,No,No phone service,DSL,No,Yes,No,Yes,No,No internet service,One year,37.17,72.17,2453.78,No,2,72.17,client_confirme,24.05666666666667
customer_104,Female,1,Yes,No,64,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,53.78,107.49,6879.36,No,1,107.49,client_confirme,53.745
customer_105,Male,1,No,No,46,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,27.76,84.78,3899.88,No,2,84.78,client_confirme,28.26
customer_106,Male,0,Yes,Yes,2,No,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,39.76,89.76,179.52,No,3,89.76,client_novice,22.44
customer_107,Female,1,No,Yes,0,No,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,88.16,123.16,0.0,Yes,1,123.16,client_novice,61.58
customer_108,Female,0,Yes,No,4,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,80.0,No,0,20.0,client_novice,20.0
customer_109,Female,1,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,40.03,520.39,No,0,40.03,client_adepte,40.03
customer_110,Female,0,No,Yes,26,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,No internet service,One year,26.35,74.71,1942.46,No,0,74.71000000000001,client_confirme,74.71
customer_111,Female,0,No,Yes,8,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,160.0,No,0,20.0,client_adepte,20.0
customer_112,Female,0,No,Yes,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,116.71,167.9,2350.6,No,1,167.9,client_adepte,83.95
customer_113,Female,0,Yes,No,41,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,78.12,128.12,5252.92,Yes,3,128.12,client_confirme,32.03
customer_114,Female,0,Yes,No,50,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,117.69,195.91,9795.5,No,4,195.91,client_confirme,39.182
customer_115,Male,1,No,No,62,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,One year,59.38,114.77,7115.74,No,1,114.77,client_confirme,57.385
customer_116,Female,0,Yes,Yes,51,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1020.0,No,0,20.0,client_confirme,20.0
customer_117,Male,0,No,Yes,3,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,130.77,199.07,597.21,Yes,3,199.07000000000002,client_novice,49.7675
customer_118,Female,0,No,Yes,22,No,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,One year,25.5,65.5,1441.0,No,2,65.5,client_adepte,21.833333333333332
customer_119,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,41.11,101.63,1422.82,Yes,2,101.63,client_adepte,33.876666666666665
customer_120,Male,0,Yes,No,42,No,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,43.0,73.0,3066.0,No,1,73.0,client_confirme,36.5
customer_121,Female,0,No,Yes,28,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,560.0,No,0,20.0,client_confirme,20.0
customer_122,Female,0,Yes,No,35,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,700.0,No,0,20.0,client_confirme,20.0
customer_123,Female,0,No,Yes,12,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,240.0,No,0,20.0,client_adepte,20.0
customer_124,Female,0,Yes,No,31,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,52.46,87.46,2711.26,No,1,87.46000000000001,client_confirme,43.73
customer_125,Female,0,No,Yes,70,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,30.13,63.95,4476.5,No,0,63.95,client_confirme,63.95
customer_126,Male,1,No,Yes,58,No,No,Fiber optic,No internet service,No,No,No,Yes,No,One year,115.37,150.37,8721.46,No,1,150.36999999999998,client_confirme,75.185
customer_127,Female,0,No,Yes,27,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No,One year,46.44,91.44,2468.88,No,2,91.44,client_confirme,30.48
customer_128,Female,0,No,No,65,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1300.0,No,0,20.0,client_confirme,20.0
customer_129,Female,1,Yes,Yes,41,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,820.0,No,0,20.0,client_confirme,20.0
customer_130,Male,0,No,Yes,44,Yes,Yes,DSL,No internet service,No,No,No,No internet service,Yes,Two year,44.2,98.2,4320.8,No,1,98.2,client_confirme,49.1
customer_131,Female,0,Yes,No,61,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,1220.0,No,0,20.0,client_confirme,20.0
customer_132,Male,0,Yes,No,56,No,No phone service,DSL,No,No,No internet service,No,Yes,No internet service,One year,31.42,66.42,3719.52,No,1,66.42,client_confirme,33.21
customer_133,Male,0,No,Yes,5,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,100.0,No,0,20.0,client_novice,20.0
customer_134,Male,1,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,32.43,875.61,Yes,0,32.43,client_confirme,32.43
customer_135,Male,0,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,540.0,No,0,20.0,client_confirme,20.0
customer_136,Male,0,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20.0,860.0,No,0,20.0,client_confirme,20.0
customer_137,Female,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,107.02,155.67,4514.43,No,1,155.67000000000002,client_confirme,77.835
customer_138,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,80.05,149.18,9099.98,No,2,149.18,client_confirme,49.72666666666667
customer_139,Female,0,Yes,Yes,61,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,48.04,2930.44,No,0,48.04,client_confirme,48.04
customer_140,Male,0,Yes,Yes,0,No,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,55.56,90.56,0.0,No,1,90.56,client_novice,45.28
customer_141,Female,1,Yes,No,26,No,No,DSL,No internet service,Yes,Yes,No,No,No,One year,38.58,73.58,1913.08,No,2,73.58,client_confirme,24.526666666666667
customer_142,Female,1,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,32.12,1959.32,No,0,32.12,client_confirme,32.12
customer_143,Male,1,No,Yes,2,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,Two year,52.54,126.96,253.92,No,2,126.96,client_novice,42.32
customer_144,Male,1,No,No,69,No,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,43.33,103.33,7129.77,Yes,3,103.33000000000001,client_confirme,25.8325
customer_145,Female,1,No,Yes,71,Yes,No,DSL,No,No internet service,No,No,No,Yes,Two year,36.02,92.26,6550.46,No,1,92.26,client_confirme,46.13
customer_146,Female,0,No,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20.0,520.0,No,0,20.0,client_confirme,20.0
customer_147,Male,1,No,No,8,No,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,21.56,71.56,572.48,No,2,71.56,client_adepte,23.853333333333335
customer_148,Female,1,Yes,Yes,61,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,86.91,116.91,7131.51,No,1,116.91,client_confirme,58.455
customer_149,Female,1,Yes,No,36,No,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No internet service,One year,21.07,41.07,1478.52,No,0,41.07,client_confirme,41.07
customer_150,Male,0,No,Yes,50,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20.0,1000.0,Yes,0,20.0,client_confirme,20.0
customer_151,Male,0,Yes,No,43,No,No,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,56.82,86.82,3733.26,No,1,86.82000000000001,client_confirme,43.41
customer_152,Male,0,No,No,23,No,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,50.88,70.88,1630.24,No,0,70.88,client_adepte,70.88
